name,body,htmlBody,iconUrl,color
GM,では皆様お揃いのようですので～,では皆様お揃いのようですので～,,"rgb(136, 136, 136)"
GM,シノビガミセッション『暴走！積尸気冥界車！！』始めてまいります。,シノビガミセッション『暴走！積尸気冥界車！！』始めてまいります。,,"rgb(136, 136, 136)"
GM,よろしくお願いします！,よろしくお願いします！,,"rgb(136, 136, 136)"
癸 海鳴,よろしくお願いします！！,よろしくお願いします！！,images/00001.webp,"rgb(156, 39, 176)"
テルル,よろしくお願いしまーす！,よろしくお願いしまーす！,images/00002.webp,"rgb(174, 255, 232)"
GM,では、まずは今回予告から。,では、まずは今回予告から。,,"rgb(136, 136, 136)"
GM,■今回予告,■今回予告,,"rgb(136, 136, 136)"
GM,"比良坂機関の科学者、ドクターMの手によって
作成された新型特殊車両『積尸気冥界車』。","比良坂機関の科学者、ドクターMの手によって
作成された新型特殊車両『積尸気冥界車』。",,"rgb(136, 136, 136)"
GM,これは現世と特定の出島を安全に繋ぐ夢の汽車であった。,これは現世と特定の出島を安全に繋ぐ夢の汽車であった。,,"rgb(136, 136, 136)"
GM,忍の世界に革命をもたらす新技術に胸を熱くする忍達。,忍の世界に革命をもたらす新技術に胸を熱くする忍達。,,"rgb(136, 136, 136)"
GM,"だが、試験運転の日に列車は暴走。
進路を現世・東京に変えて、一目散に走りだす。","だが、試験運転の日に列車は暴走。
進路を現世・東京に変えて、一目散に走りだす。",,"rgb(136, 136, 136)"
GM,"このまま行けば多数の死者が出る。
忍は東京を守れるのか。","このまま行けば多数の死者が出る。
忍は東京を守れるのか。",,"rgb(136, 136, 136)"
GM,＊,＊,,"rgb(136, 136, 136)"
GM,という感じです。夢の汽車大暴走！,という感じです。夢の汽車大暴走！,,"rgb(136, 136, 136)"
GM,では東京を守るシノビのみなさんに自己紹介をしてもらいましょうか。,では東京を守るシノビのみなさんに自己紹介をしてもらいましょうか。,,"rgb(136, 136, 136)"
GM,PC番号順でお願いします。GMが導入と使命を貼りますので、その後にキャラシートを公開し、自己紹介をしてください。,PC番号順でお願いします。GMが導入と使命を貼りますので、その後にキャラシートを公開し、自己紹介をしてください。,,"rgb(136, 136, 136)"
GM,■PC1,■PC1,,"rgb(136, 136, 136)"
GM,"PC1　推奨：比良坂機関

【導入】
総理直々の依頼により、あなたは積尸気冥界車に乗り込んだ。
護衛忍務、と聞いていたが、どうもキナ臭い。
そう思っていた矢先、積尸気冥界車は暴走を始めた。

【使命】
積尸気冥界車を止める。","PC1　推奨：比良坂機関

【導入】
総理直々の依頼により、あなたは積尸気冥界車に乗り込んだ。
護衛忍務、と聞いていたが、どうもキナ臭い。
そう思っていた矢先、積尸気冥界車は暴走を始めた。

【使命】
積尸気冥界車を止める。",,"rgb(136, 136, 136)"
癸 海鳴,https://character-sheets.appspot.com/shinobigami/edit.html?key=ahVzfmNoYXJhY3Rlci1zaGVldHMtbXByFwsSDUNoYXJhY3RlckRhdGEYh6iVsgUM,https://character-sheets.appspot.com/shinobigami/edit.html?key=ahVzfmNoYXJhY3Rlci1zaGVldHMtbXByFwsSDUNoYXJhY3RlckRhdGEYh6iVsgUM,images/00001.webp,"rgb(156, 39, 176)"
癸 海鳴,癸 海鳴（みずのと-うなり）です。癸でも、海鳴でも、お好きなように。,癸 海鳴（みずのと-うなり）です。癸でも、海鳴でも、お好きなように。,images/00001.webp,"rgb(156, 39, 176)"
癸 海鳴,古くから比良坂の忍として、政に関わってきた家の者です。総理大臣より下った忍務、嬉しく反面、内心とても緊張しております。 [編集済],"古くから比良坂の忍として、政に関わってきた家の者です。総理大臣より下った忍務、嬉しく反面、内心とても緊張しております。<span style=""color: rgb(117, 117, 117);"">&nbsp;[編集済]</span>",images/00001.webp,"rgb(156, 39, 176)"
癸 海鳴,表では『あの派遣の人必ず定時で帰るよね……』と言われがちなポジションの社員を演じ、様々な会社を渡り歩いております。,表では『あの派遣の人必ず定時で帰るよね……』と言われがちなポジションの社員を演じ、様々な会社を渡り歩いております。,images/00001.webp,"rgb(156, 39, 176)"
癸 海鳴,まあ、何者かを知られては忍務に差し障りますのでね。定時で帰るのも、そこで手に入れた情報を上に伝えるためですから。,まあ、何者かを知られては忍務に差し障りますのでね。定時で帰るのも、そこで手に入れた情報を上に伝えるためですから。,images/00001.webp,"rgb(156, 39, 176)"
癸 海鳴,……こんなところでよろしいでしょうか。何分こういう生業でずっと食ってきましたから。堅くてすみません。よろしくお願いいたします。 [編集済],"……こんなところでよろしいでしょうか。何分こういう生業でずっと食ってきましたから。堅くてすみません。よろしくお願いいたします。<span style=""color: rgb(117, 117, 117);"">&nbsp;[編集済]</span>",images/00001.webp,"rgb(156, 39, 176)"
GM,しっかりしたお姉さんだ！,しっかりしたお姉さんだ！,,"rgb(136, 136, 136)"
GM,列車が東京に乗り入れると会社も破壊されちゃうかもですね。がんばってください。,列車が東京に乗り入れると会社も破壊されちゃうかもですね。がんばってください。,,"rgb(136, 136, 136)"
癸 海鳴,それは…………是非とも、避けたいところです。,それは…………是非とも、避けたいところです。,images/00001.webp,"rgb(156, 39, 176)"
GM,どうなっちゃうかな！？,どうなっちゃうかな！？,,"rgb(136, 136, 136)"
GM,■PC2,■PC2,,"rgb(136, 136, 136)"
GM,"PC2　推奨：隠忍の血統、ハグレモノ

【導入】
東雲八雲はあなたの友人（恋人、その他）である。
そんな彼女からの便りにはこう書かれていた。
『積尸気冥界車を止めて』
あなたは一肌脱ぐことにした。

【使命】
積尸気冥界車を止める。","PC2　推奨：隠忍の血統、ハグレモノ

【導入】
東雲八雲はあなたの友人（恋人、その他）である。
そんな彼女からの便りにはこう書かれていた。
『積尸気冥界車を止めて』
あなたは一肌脱ぐことにした。

【使命】
積尸気冥界車を止める。",,"rgb(136, 136, 136)"
白鬼,https://character-sheets.appspot.com/shinobigami/edit.html?key=ahVzfmNoYXJhY3Rlci1zaGVldHMtbXByFwsSDUNoYXJhY3RlckRhdGEYnsjztwUM,https://character-sheets.appspot.com/shinobigami/edit.html?key=ahVzfmNoYXJhY3Rlci1zaGVldHMtbXByFwsSDUNoYXJhY3RlckRhdGEYnsjztwUM,images/00003.webp,"rgb(233, 30, 99)"
白鬼,私、名を白鬼と申します。ハクでもシラオニでもお好きな方でお呼びください。,私、名を白鬼と申します。ハクでもシラオニでもお好きな方でお呼びください。,images/00003.webp,"rgb(233, 30, 99)"
白鬼,斜歯に実験用として送られた隠忍のシノビでございます。,斜歯に実験用として送られた隠忍のシノビでございます。,images/00003.webp,"rgb(233, 30, 99)"
白鬼,と言っても、今はそれほど縛られた生活はしておりません。,と言っても、今はそれほど縛られた生活はしておりません。,images/00003.webp,"rgb(233, 30, 99)"
白鬼,これも全て、東雲八雲様のおかげですね。,これも全て、東雲八雲様のおかげですね。,images/00003.webp,"rgb(233, 30, 99)"
白鬼,…八雲様との関係ですか？,…八雲様との関係ですか？,images/00003.webp,"rgb(233, 30, 99)"
白鬼,被験体兼、助手兼、恋人…といったところでしょうか？ふふ…。,被験体兼、助手兼、恋人…といったところでしょうか？ふふ…。,images/00003.webp,"rgb(233, 30, 99)"
白鬼,以上です。,以上です。,images/00003.webp,"rgb(233, 30, 99)"
東雲八雲,優秀で従順で助かっています。,優秀で従順で助かっています。,images/00004.webp,"rgb(136, 136, 136)"
GM,使命はこちらも積尸気冥界車を止めること！　止められるかな～！？,使命はこちらも積尸気冥界車を止めること！　止められるかな～！？,,"rgb(136, 136, 136)"
白鬼,止めますとも。八雲様のお願いですからね。,止めますとも。八雲様のお願いですからね。,images/00003.webp,"rgb(233, 30, 99)"
GM,えらい！,えらい！,,"rgb(136, 136, 136)"
GM,■PC3,■PC3,,"rgb(136, 136, 136)"
